batch,workers,prefetch,samples_s,retained_imbalance,retained_jitter
384,16,2,"47,933",4.89%,205
384,16,4,"47,866",5.21%,448
384,16,6,"48,225",5.70%,170
384,16,8,"48,235",5.91%,64
512,16,2,"48,316",4.76%,193
512,16,4,"48,621",6.11%,354
512,16,6,"48,696",5.74%,161
512,16,8,"48,581",5.48%,80
640,16,2,"48,617",5.51%,146
640,16,4,"48,796",6.46%,479
640,16,6,"48,833",5.98%,54
640,16,8,"48,800",4.80%,129
768,16,2,"48,806",6.11%,204
768,16,4,"49,027",5.54%,118
768,16,6,"48,974",4.39%,27
768,16,8,"48,998",5.46%,146
