platform,type,nodes,gpus,n,nb,grid,pflop_s,pflop_s_gpu,job
RTX PRO 6000,FP8,1,8,65536,2048,2x4,0.187,0.023,27846
RTX PRO 6000,FP8,2,16,98304,2048,4x4,0.456,0.028,27848
RTX PRO 6000,FP8,4,32,131072,2048,4x8,0.824,0.026,27850
B200,FP8,1,8,65536,2048,2x4,0.212,0.027,27837
B200,FP8,2,16,98304,2048,4x4,0.495,0.031,27840
B200,FP8,4,32,131072,2048,4x8,0.996,0.031,27851
B200,FP8,8,64,185344,2048,8x8,2.063,0.032,27854
B200,FP8,16,128,262144,2048,8x16,4.566,0.036,27857
B200,FP4,1,8,65536,2048,2x4,0.129,0.016,27838
B200,FP4,2,16,98304,2048,4x4,0.497,0.031,27841
B200,FP4,4,32,131072,2048,4x8,0.929,0.029,27844
B200,FP4,8,64,185344,2048,8x8,2.181,0.034,27855
B200,FP4,16,128,262144,2048,8x16,4.209,0.033,27858
